mode,pow,delay,loss,rate,n,mean_ms,min_ms,max_ms,p50_ms,p95_ms,stddev_ms,ci95_ms,p99_ms
single,8,0ms,0%,,20,8.814,6.884,9.795,8.767,9.708,0.725,0.318,9.795
single,8,0ms,2%,,20,11.788,7.610,36.809,8.735,33.920,8.246,3.614,36.809
single,8,20ms,0%,,20,131.145,128.919,149.560,129.822,133.465,4.533,1.986,149.560
single,8,20ms,2%,,20,238.880,128.280,1153.680,129.673,1148.902,312.682,137.039,1153.680
single,8,50ms,0%,,20,312.396,308.814,359.174,309.602,313.610,11.087,4.859,359.174
single,8,50ms,2%,,20,378.746,307.647,1360.784,309.684,461.394,235.316,103.132,1360.784
stream,8,0ms,0%,,20,7.966,6.768,9.114,8.043,9.076,0.749,0.328,9.114
stream,8,0ms,2%,,20,27.528,7.897,285.335,9.787,38.691,61.525,26.965,285.335
stream,8,20ms,0%,,20,131.105,128.783,150.645,129.639,134.422,4.831,2.117,150.645
stream,8,20ms,2%,,20,194.969,128.334,1150.013,129.832,280.539,227.483,99.699,1150.013
stream,8,50ms,0%,,20,311.367,306.802,360.267,308.587,314.454,11.636,5.100,360.267
stream,8,50ms,2%,,20,370.768,306.572,1363.925,309.211,437.528,235.709,103.304,1363.925
udp,8,0ms,0%,,20,8.296,7.022,9.418,8.429,9.187,0.635,0.278,9.418
udp,8,0ms,2%,,20,9.835,7.464,39.632,8.318,9.269,7.031,3.082,39.632
udp,8,20ms,0%,,20,131.304,128.494,151.510,130.007,133.143,4.912,2.153,151.510
udp,8,20ms,2%,,20,182.273,128.370,1149.640,130.315,149.954,227.741,99.812,1149.640
udp,8,50ms,0%,,20,312.625,308.025,360.610,309.800,314.235,11.397,4.995,360.610
udp,8,50ms,2%,,20,450.255,309.190,1359.588,310.854,1359.122,318.867,139.750,1359.588
